10k (neg=500),transe,pairre,conne,complex,rotate,,,,,,,,,,,,,,,
rand1,H@1=0.641,h@3=0.66,h@10=0.66,mrr=0.652,H@1=0.63,h@3=0.645,h@10=0.653,mrr=0.644,H@1=0.545,h@3=0.653,h@10=0.673,mrr=0.609,H@1=0.0493,h@3=0.157,h@10=0.421,mrr=0.153,H@1=627,h@3=0.639,h@10=0.639,mrr=0.634
rand2,H@1=0.554,h@3=0.649,h@10=0.653,mrr=0.603,H@1=0.008,h@3=0.0293,h@10=0.0647,mrr=0.0341,H@1=0.487,h@3=0.655,h@10=0.666,mrr=0.571,H@1=0.006,h@3=0.0220,h@10=0.060,mrr=0.0319,H@1=0.601,h@3=0.632,h@10=0.638,mrr=0.619
rand3,H@1=0.332,h@3=0.589,h@10=0.642,mrr=0.463,H@1=0.000667,h@3=0.00333,h@10=0.0113,mrr=0.0097,H@1=,h0.235@3=,h0.436@10=,m0.509rr=0.343,H@1=0.00133,h@3=0.00667,h@10=0.0367,mrr=0.0184,H@1=0.481,h@3=0.589,h@10=0.602,mrr=0.537
rand4,H@1=0.0411,h@3=0.190,h@10=0.278,mrr=0.151,H@1=0,h@3=0.00778,h@10=0.0289,mrr=0.0161,H@1=0.0489,h@3=0.167,h@10=0.332,mrr=0.140,H@1=0.0022,h@3=0.0122,h@10=0.0278,mrr=0.0166,H@1=0.01,h@3=0.0211,h@10=0.0433,mrr=0.0277
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"base (neg=500, gamma=12)",transe,pairre,conne,complex,rotate,,,,,,,,,,,,,,,
Base (-1),H@1=0.624,h@3=0.638,h@10=0.638,mrr=0.633,H@1=0.625,h@3=0.638,h@10=0.655,mrr=0.639,,H@1=0.039,h@3=0.129,h@10=0.366,mrr=0.132,,,,,,,
P=0.4,H@1=0.501,h@3=0.655,h@10=0.661,mrr=0.576,H@1=0.266,h@3=0.366,h@10=0.462,mrr=0.336,,H@1=0.0665,h@3=0.133,h@10=0.260,mrr=0.130,,,,,,,
P=0.5,H@1=0.459,h@3=0.62,h@10=0.627,mrr=0.539,H@1=0.198,h@3=0.301,h@10=0.384,mrr=0.267,,H@1=0.018,h@3=0.05,h@10=0.133,mrr=0.0576,,,,,,,
P=0.6,H@1=0.404,h@3=0.621,h@10=0.64,mrr=0.512,H@1=0.115,h@3=0.176,h@10=0.241,mrr=0.162,,,,,,,,,,,,
P=0.7,H@1=0.343,h@3=0.577,h@10=0.619,mrr=0.460,H@1=0.059,h@3=0.119,h@10=0.173,mrr=0.102,,,,,,,,,,,,
P=0.8,H@1=0.267,h@3=0.522,h@10=0.596,mrr=0.399,,,,,,,,,,,,,,,,
P=0.9,H@1=0.24,h@3=0.545,h@10=0.662,mrr=0.399,,,,,,,,,,,,,,,,
P=1.0,H@1=0.214,h@3=0.500,h@10=0.650,mrr=0.372,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"base (neg=500, gamma=5)",transe,,,,pairre,,,,,,,,,,,,,,,
Base (-1),H@1=0.626,h@3=0.639,h@10=0.639,Mrr=0.634,H@1=0.621,h@3=0.6640,h@10=0.659,Mrr=0.638,,,,,,,,,,,,
P=0.4,H@1=0.461,h@3=0.656,h@10=0.664,Mrr=0.555,H@1=0.051,h@3=0.0775,h@10=0.111,Mrr=0.0784,,,,,,,,,,,,
P=0.5,H@1=0.384,h@3=0.606,h@10=0.630,Mrr=0.496,H@1=0.0225,h@3=0.0435,h@10=0.0735,Mrr=0.0457,,,,,,,,,,,,
P=0.6,H@1=0.339,h@3=0.603,h@10=0.642,Mrr=0.470,H@1=0.009,h@3=0.019,h@10=0.0415,Mrr=0.0260,,,,,,,,,,,,
P=0.7,H@1=0.293,h@3=0.561,h@10=0.618,Mrr=0.428,H@1=0.0055,h@3=0.015,h@10=0.0425,Mrr=0.0225,,,,,,,,,,,,
P=0.8,H@1=0.227,h@3=0.508,h@10=0.593,Mrr=0.371,H@1=0.003,h@3=0.0095,h@10=0.0315,Mrr=0.0174,,,,,,,,,,,,
P=0.9,H@1=0.226,h@3=0.541,h@10=0.660,Mrr=0.389,H@1=0.0035,h@3=0.0125,h@10=0.0365,Mrr=0.0195,,,,,,,,,,,,
P=1.0,H@1=0.207,h@3=0.506,h@10=0.648,Mrr=0.370,H@1=0.003,h@3=0.013,h@10=0.034,Mrr=0.0193,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"base (neg=500, gamma=9)",transe,,,,pairre,,,,,,,,,,,,,,,
Base (-1),H@1=0.626,h@3=0.639,h@10=0.639,Mrr=0.634,H@1=0.624,h@3=0.638,h@10=0.657,Mrr=0.639,,,,,,,,,,,,
P=0.4,H@1=0.483,h@3=0.651,h@10=0.663,Mrr=0.567,H@1=0.115,h@3=0.164,h@10=0.217,Mrr=0.155,,,,,,,,,,,,
P=0.5,H@1=0.419,h@3=0.612,h@10=0.630,Mrr=0.514,H@1=0.0695,h@3=0.125,h@10=0.183,Mrr=0.114,,,,,,,,,,,,
P=0.6,H@1=0.363,h@3=0.609,h@10=0.642,Mrr=0.484,H@1=0.0320,h@3=0.0645,h@10=0.114,Mrr=0.0643,,,,,,,,,,,,
P=0.7,H@1=0.311,h@3=0.570,h@10=0.619,Mrr=0.442,H@1=0.0145,h@3=0.0335,h@10=0.075,Mrr=0.0394,,,,,,,,,,,,
P=0.8,H@1=0.245,h@3=0.520,h@10=0.596,Mrr=0.384,H@1=0.0085,h@3=0.023,h@10=0.0665,Mrr=0.0306,,,,,,,,,,,,
P=0.9,H@1=0.230,h@3=0.540,h@10=0.665,Mrr=0.394,H@1=0.007,h@3=0.0195,h@10=0.0405,Mrr=0.0245,,,,,,,,,,,,
P=1.0,H@1=0.21,h@3=0.509,h@10=0.649,Mrr=0.370,H@1=0.007,h@3=0.0175,h@10=0.051,Mrr=0.0259,,,,,,,,,,,,
